주소,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건_사고 분류1,사건_사고 분류2,사건_사고 분류3,개체명(인물),개체명(지역),개체명(기업_기관),키워드,특성추출,본문,원본주소
54,2021-08-01,아시아경제,김동표,"중흥건설, 대우건설 인수 양해각서 체결…연내 인수완결",경제>반도체,경제>금융_재테크,사회>노동_복지,사회>사회갈등>시위,,,,"중구, 서울, 을지로, 최대주주","중흥건설, 중흥그룹, KDBI, KDB인베스트먼트, 증흥건설, 대우건설","중흥건설,대우건설,인수,양해,각서,체결,연내,인수완결,우선협상대상자,대우건설,인수,우선,협상,대상자,선정,중흥건설,완결,연내,인수,속도,최대주주,대우건설,최대,주주,KDB인베스트먼트,KDBI,대우건설,주식,매각,중흥건설,양해각서,MOU,체결,지난달,매매,대상,주식,2억,1209주,지분율,50.75%,MOU,체결,중흥건설,우선협상대상자,지난달,대우건설,인수,우선,협상,대상자,선정,거래,금액,2조,수준,예상,KDBI,관계자,매각,절차,차질,진행,대우건설,경영,안정,지속,가능,성장,구축,달성,지원,계획,양해,각서,체결,확인실사,주식매매계약,SPA,예정,중흥그룹,입장자료,지난달,입장,자료,대우건설,매각,주체,KDBI,MOU,체결,확인,실사,주식매매계약,기업,결합,신고,신속,진행,연내,인수,완결,계획,증흥건설,이행,강제금,납부,실사,중흥건설,변심,인수,포기,금액,대우건설,노조,매각,저지,총파업,예고,앞길,대우건설,매각,졸속,반대,의사,대우건설,노조,총파업,다음달,돌입,파업,코로나19,방역,수칙,준수,재택,파업,형태,진행,총파업,서울,중구,을지로,대우건설,천막,농성,아바타,파업,진행,아바타,파업,조합원,파업,의미,전국,각지,현장,조합원들,안전모,진행,방식,대우건설,노조,총파업,시작,상황,코로나19,단계,수위,파업,진행,계획,노조,관계자,중흥건설,매수자,실사,저지,총력","대우건설,중흥건설,총파업,코로나19,관계자,양해각서,kdbi,mou,다음달,조합원,아바타,서울,우선협상대상자,지분율",대우건설 인수 우선협상대상자로 선정된 중흥건설이 연내 인수 완결을 목표로 속도를 내고 있다... .. .. .. ..1일 대우건설 최대주주인 KDB인베스트먼트(KDBI)..이번 파업은 코로나19 방역수칙을 준수하기 위해 재택파업 형태로 진행된다...대우건설 노조는 1차 총파업을 시작으로 코로나19 단계별 상황에 맞춰 수위를 높인 파업을 진행할 계획이다...,https://www.asiae.co.kr/article/2021080120281029001
55,2021-08-01,세계일보,이동준,오후 6시까지 전국서 1034명 신규확진,지역>지역일반,사회>사회일반,,,,,,"울산, 충북, 서울, 전북, 관악구, 경기, 충남, 부산, 태안군, 서울시, 강원, 경북, 대전, 세종, 제주, 대구, 인천, 전남, 경남, 광주","칠곡군, 충주시, 임시선별진료소, 연합뉴스, 강북구, 수도권","6시,전국,신규,확진,1일,서울,관악구,코로나19,임시,선별,진료소,시민들,햇빛가리개,검사,순서,신종,코로나바이러스,감염증,코로나19,지속,전국,확진자,속출,방역당국,서울시,지방자치단체,이날,6시,전국,판정,코로나19,양성,신규,확진자,1034명,집계,집계,1181명,147명,집계,마감,자정,만큼,기준,신규,확진자,1200명,중후반,안팎,이날,확진자,지역,수도권,689명,66.6%,비수도권,345명,33.4%,시도별,서울,경기,부산,경남,인천,대전,충남,경북,대구,충북,광주,강원,15명,제주,울산,전북,전남,4명,세종,확진자,평일,비교,확진자,건수,휴일,검사,감소,영향,확산세,집단,발병,사례,서울,강북구,의료기관,지난달,확진자,이용자,지인,가족,양성,판정,누적,감염자,12명,충북,충주시,마트,종사자,가족,11명,확진,충남,태안군,소재,교회,목사,교인,8명,양성,판정,치료,경북,칠곡군,사업장,종사자,포함,18명,확진,역학조사,진행","확진자,서울,코로나19,충북,종사자,경북,충남,경남,인천,부산,대구,울산,제주,만큼,8명,감염증,비수도권,비수도,서울시,지방자치단체,시민들,햇빛가리개,진료소,확산세,전남,시도별,의료기관",1일 오후 서울 관악구 코로나19 임시선별진료소를 찾은 시민들이 햇빛가리개 아래에서 비를 피하며 검사 순서를 기다리고 있다... 연합뉴스 .. .. 국내 신종 코로나바이러스 감염증(코로나19) 4차 대유행이 지속 중인 가운데 1일에도 전국 곳곳에서 확진자가 속출했다... .. ....코로나19 양성 판정을 받은 신규 확진자는 총 1034명으로 집계됐다...,http://www.segye.com/content/html/2021/08/01/20210801510432.html
56,2021-08-01,국민일보,,[엄윤상의 세상만사] 사주팔자 탓 대신 진인사대천명,문화>문화일반,,,,,,,"장자, 우주, 중국, 설령",동양,"사주팔자,진인사대천명,회삿돈,횡령,징역형,회장,수사,역술인,자문,투자,사실,중요,결정,역술인,도움,총수,역술인,재벌,총수,장자방,루머,시장선거,출마,남편,유력,정당,공천,역술인,의뢰,부인,사건,결국,남편,공천,다행,공천,시장,당선,얼만,본전,생각,쇠고랑,일생일대,한판,승부,불안,인간,숙명,연월일시,개인,적성,미래,예측,사주팔자,운명학,미신,취급,조선시대,공개,시험,관료,선발,가지,대학,정규과목,동양,중국,고대,사람,미래,운명,예측,방법,가지,학술,당면,해답,공자,기록,주역,학문,점서,사람,전반적,운명,연월일시,바탕,사주명리학,사주명리학,사람,운명,가지,기준,그중,가지,개인,그릇,움직임,흐름,변화,상대적,변화,환경,기회,노력,추구,열매,사주팔자,필자,생각,운명,노력,희망,하늘,무심,인공지능,슈퍼컴퓨터,작동,SF영화,우주여행,현실화,작금,시대,사주팔자,타령,생각,작금,사주팔자,역술,무속,코로나,사람,마음속,마음,위로,불안,증폭,이성,사주팔자,패가망신,운명,사주팔자,엄윤상,법무법인,드림,대표변호사","사주팔자,역술인,연월일시,회삿돈,사주명리학,마음속,명리학,슈퍼컴퓨터,대표변호사,우주여행,인공지능,동양,현실화,코로나,조선시대,중국,정규과목,법무법인,진인사대,상대적,시장선거,일생일대,조선,징역형,장자방,점서,쇠고랑,엄윤상,운명학,진인사대천명,그중,패가망신,sf,sf영화,변호사,시간date",몇 년 전에 회삿돈 수백억원을 횡령해 징역형을 받았던 모 대기업 회장이 수사 과정에서 역술인의 자문을 받아 투자했다는 사실이 밝혀진 바 있다... 이처럼 중요한 결정을 할 때 역술인의 도움을 받는 대기업 총수가 적지 않다고 한다... ..‘어느 역술.. 그러나 작금에도 여전히 사주팔자를 다루는 역술과 무속은 코로나로 지친 사람들 마음속을 파고들고 있다...,http://news.kmib.co.kr/article/view.asp?arcid=0016122536&code=61121111&cp=kd
57,2021-08-01,광주매일신문,이종행 기자,광주시·구청 유튜브 채널 홍보 경쟁 치열,IT_과학>콘텐츠,,,,,,"이, 이용섭","광주시, 시·구의원, 광주지역","유튜브, 광산구청장, 광주","광주시,구청,치열,유튜브,채널,홍보,경쟁,코로나19,장기,반경,활동,확대,광주지역,지자체장,광역,기초의원,유튜브,소셜네트워크서비스,SNS,온라인,홍보,경쟁,치열,단체장,출연,미션,수행,먹방,대중적,콘텐츠,콘텐츠,이용섭,광주,시장,유튜브,채널,이용섭,TV,확정,달빛,내륙,철도,국가,계획,코로나19,거리,조정,소회,취임,정책,소개,시장,이미지,다정,모습,시정,홍보,시민들,자치구,김삼호,광산구청장,야호삼호,유튜브,활용,구정,홍보,자신,이미지,콘텐츠,제작,이미지,쇄신,콘텐츠,마련,분주,청장,채널,외모,평균,질문,웃음,로또,당첨,비밀,질문,비밀,능청,평소,이미지,시민들,재미,웃음,선사,유명,유튜버,섭외,콘텐츠,제작,유권자들,홍보맨,단체장,구의원들,자신,입맛,유튜브,활용,전략,고민,일각,지자체,제작,콘텐츠,주민,세금,운영,효과,만큼,예산,투입,대비,지적,시민들,영상,혈세,투입,만큼,현안,시정,수준,콘텐츠,주력,지자체,생산,콘텐츠,개인,만큼,정치인,부각,지역,특색,정체성,목소리,광주,시민,단체,관계자,유튜브,제작,컨텐츠,시민들,전달,정보,전달,오해,만큼,주의,유튜브,위주,흥미,컨텐츠,제작,역할,단체장,기관,정보,전달,보완,내년,지방,선거,유튜브,활용,전략,나름,무기","유튜브,만큼,단체장,이용섭,광주,코로나19,시민들,지자체,관계자,자치구,정치인,네트워크,먹방,정체성,소셜,달빛,대중적,유튜버,광산구청장,김삼호,유권자,지자체장,로또,분주,온라인","코로나19 장기화에 따른 비대면 활동 반경이 점차 확대되면서 광주지역 각 지자체장과 광역·기초의원의 유튜브·소셜네트워크서비스(SNS) 등 온라인을 통한 홍보 경쟁이 치열하다. .. ..특히 단체장이 직접 출연, 얄궂은 미션을 수행하거나 ..‘먹방’과 같은 대중적인 콘텐츠를 선보이는 등 돋보이기 위한 다양한 콘텐츠가 쏟..‘코로나19 거리 두기 조정’, ..",http://www.kjdaily.com/news_view.php?n=552740&tmp=20210801&s=2
58,2021-08-01,광주매일신문,최권범 기자,"광주 차이나센터, 시민중국어 강좌",지역>광주,지역>강원,지역>제주,,,,,"광주시, 중국, 광주",차이나센터,"광주,차이나센터,시민,중국어,강좌,광주시,차이나센터,20일,광주시민들,대상,강좌,시민,중국어,무료,온라인,수강생,모집,시민,중국어,강좌,평소,중국어,중국문화,관심,기회,광주,시민,중국어,중국,문화,무료,교육,프로그램,광주,거주,시민,지원,가능,코로나19,시대,온라인,진행,시민,중국어,강좌,9월,11월,10주,초급과정,초급,운영,수강희망자,20일,홈페이지,광주,차이나센터,www.gwangjucfc.kr,신청","광주,차이나센터,온라인,중국어,중국문화,10주,중국,코로나19,수강희망자,희망자,수강생,광주시민들,홈페이지,광주시,강좌,시민,무료,수강,프로그램,문화,운영,가능,시대,관심,지원,기회,진행,모집,대상,교육,거주,평소,신청","광주시 차이나센터가 오는 20일까지 광주시민들을 대상으로 ..‘제10기 시민중국어 무료 온라인 강좌’ 수강생을 모집한다. .. ..‘시민중국어 강좌’는 평소 중국어와 중국문화에 관심이 많으나 쉽게 접할 기회가 없는 광주 시민들을 위한 중국어, 중국문화 무료 교육 프로그램으로 광주에 거주하는 시민 누구..코로나19 시대를 맞아 비대면 온라인으로 진행되는 ..",http://www.kjdaily.com/news_view.php?n=552733&tmp=20210801&s=5
59,2021-08-01,광주매일신문,오승지·임후성 기자,"휴가철 가족, 지인간 ‘n차 감염’ 확산",지역>광주,지역>전남,지역>경기,,,,,"서울, 동구, 경기, 충남, 서울마포구, 서구, 보성, 담양, 광산구, 수도권, 경기도, 신안, 나주, 화순, 대전, 광주시, 목포, 여수, 순천, 완도, 제주, 전남, 광주","영어학원, 게스","휴가,가족,감염,지인간,확산,수도권,대유행,코로나19,이동량,여름,휴가철,감염,확산,지역,감염,광주시,이날,15명,기준,확진자,누적확진자,3천,확진자,확진자,접촉,가족,지인,사례,감염,광주,광산구,체육,시설,주점,감염,서울,경기,지역,접촉,방문,확진,유형,확진자,발생,현황,주점,확진자,광산구,소재,주점,24명,광산구,체육,시설,서구,유흥업소,동구,호프집,하우스,8명,제주,게스트,하우스,집계,휴가철,이동,지역,지역,감염,서울마포구,음식점,경기,영어학원,확진자,영어,학원,81명,수도,방문,소모임,25명,경기도,골프,모임,17명,사례,지역,확진,123명,전남,확진자,신규,9명,이날,이틀,14명,목포,화순,3,,여수,2,,신안,완도,나주,확진,판정,전남,2049번,분류,화순,발생,3명,전남,2044번,휴가철,담양,펜션,확진,전남,접촉,진단검사,양성,판정,목포,호텔,종사자,확진,17명,직원,투숙객,대상,후속,검사,진행,1명,확진자,외국인,선제검사,선박,종사자,선제,검사,감염,사실,확인,나머지,감염,경로,조사,여수,보성,신안,확진자,대전,충남,접촉,지역,확진자,감염,사례,관계자,방역,당국,피서,지역,방문,만남,사례,코로나19,감염,지속,실정,수도,방문,감염,의심,지체,선별진료소,방문,검사,당부,오승지,임후성","확진자,전남,휴가철,광산구,코로나19,종사자,수도권,화순,신안,목포,지인간,경기도,여수,제주,보성,광주시,동구,대유행",‘수도권 발’ 코로나19 4차 대유행 속에 여름 휴가철 이동량이 늘면서 ..‘n차 감염’ 확산 등 지역 감염이 끊이지 않고 있다... .. .. ..1일 광주시에 따르면 이날 오후 6시 기준 15명의 확진자가 나와 누적확진자 수는 3천428명이다. .. ..“본격 피서철에 타지역 방문과 만남으로 인한 코로나19 감염 사례가 지속되고 있는 실정”이라며 ..,http://www.kjdaily.com/news_view.php?n=552745&tmp=20210801&s=2
60,2021-08-01,충북일보,성지연,시장 사람 이야기 - 청주 북부시장 '건강떡집',문화>문화일반,경제>유통,,,,,경순,"일해, 청주체육관, 청주, 분도, 우암동, 북부, 북부시장","미소지, 푸드뱅크, 산악회, 배달원, 세무서","이야기,시장,사람,건강떡집,청주,북부시장,충북일보,북부시장,자리,떡판매,자매,감사,마음,건강떡집,청주,북부시장,30년,자리,운영,박경순,남편,코너,북부시장,사거리,장사,시어머니,큰형님,1994년,떡집,운영,북부시장,대표,상품,경순,떡집,과거,정도,문전성시,청주,출발,산악회,사찰,행사,고정,주문량,경순씨,코로나,청주체육관,출발,산악회,5시,준비,포장,판매,하루,매장,직원들,배달,회상,방식,30년,시어머니,형님,방식,유지,건강떡집,종류,찰떡,모시송편,15가지,경순씨,찰떡,호박떡,단호박고지,울타리콩,어르신들,아침대용,미소,국산,재료,재료,사용,경순씨,제1원칙,서리태,국산,재료,고객들,곡물,가격,국산,재료,포기,고객들,경순씨,세월,친절,정직,경순씨,장사,판매,당일,당일,판매,중요,원칙,강조,냉동실,푸드뱅크,기부,점들,인정,오랫동안,자리,만큼,건강,떡집,단골손님들,60대,중년,고객,시절,방문,고객들,며느리,경순씨,5자매,손님,오랫동안,분들,코로나19,사태,경순,떡집,어려움,직원들,수요,경순,부부,배달원,2명,직원,매출,결국,경순씨,코로나19,사태,산악회,운영,행사,공급,산악회,10곳,거래,설명,세무서,일반사업자,간이사업자,변경,고지서,직원,부부,8시,정도,웃음,생각,코로나,이야기,30년,만큼,무릎,허리,체력,소모,경순씨,정직,이야기,시장,만큼,경순,북부시장,감사,기부,활동,보답,10년,우암동,동장,감사,시작,기부,매출,경순씨,예전,우암동,동장,주변,시작,동사무소,구청,7년,정도,기부활동,계기,설명,동장,동사무소,기부,마음,시장,마음,30년,아이들,아이,동네,상황,사람,장사,설명","경순,북부시장,경순씨,떡집,만큼,산악회,청주,건강떡집,우암동,시어머니,코로나,사업자,60대,오랫동안,고객들,동사무소,직원들,시간date,아이들,코로나19,사거리,어르신들,아침대용,울타리콩,푸드뱅크,아침대",［충북일보］북부시장 이 자리에서 떡판매로 다섯 자매를 키웠어요...코로나 전까지만해도 새벽부터 문여는 것이 당연했다며 .. 하지만 지난해부터 이어진 코로나19 사태는 경순씨네 떡집에도 어려움을 주고 있다...코로나19 사태 이후 산악회 운영과 절에서 열리는 모든 행사가 멈췄다며 ..지금 코로나만이라도 끝나면 좀 나아질 것같다고 이야기 했다...,https://www.inews365.com/news/article.html?no=675892
61,2021-08-01,중부일보,김재득,"명-낙, 주말에도 설전…마타도어 매도 vs 또 지역주의",정치>국회_정당,정치>선거,,,,,"추미애, 박용진, 오영훈, 이낙연, 이재명, 마타, 이, 김두관, 현근택, 정세균, 이 지사, 남영희, 장경태","경기지사, 전남지사, 전남, 양강, 성남시","민주당, 검찰, 더불어민주당, 정정당당","주말,설전,마타도어,매도,vs,지역주의,더불어민주당,대권,주자,이재명,경기,지사,이낙연,대표,주말,설전,지난달,대권,주자,정정당당,원팀,비방,정책,비전,원팀,협약식,모습,지사,대표,지방,일정,소화,대변인들,캠프,대변인,대리전,이재명,캠프,남영희,대변인,31일,대표,전남,지사,시절,공약,이행,논란,전남,지사,공약,20개,이행,5년,시민단체,시민,단체,보도자료,검증과정,마타도어,매도,무성과,무능,순치,현근택,대변인,대표,국무총리,대표,중앙정치,지사,성남시장,경기도지사,변방,캠프,이낙연,오영훈,수석대변인,이재명,후보,캠프,연일,지역주의,이용,분열,갈등,조장,자의적,해석,모습,무리수,시작,자충수,귀결,기억,경고,이재명,캠프,지역감정,보도,언론사,고발,자신들,기사,언론,재갈,지적,정세균,총리,언론,왜곡,프레임,하락,지지율,만회,언론,재갈,상대,비판,봉쇄,변론,지사측,언론사,검찰,고발,유감,주자들,민주당,대선,경선,주자,확장,조직,TV토론,격돌,1일,모집,선거인단,175만,모집,종료,캠프,풀뿌리,조직,총동원,선거인단,확보,총력,코로나19,확산,대면,접촉,제한,현실,전화,문자,SNS,활용,4일,본경선,이행률,전남,지사,공약,이행,이재명,후보,지역주의,논란,노골적,설전,예상,정세균,후보,이낙연,후보,단일,프레,주력,추미애,후보,부각,정책,비전,김두관,후보,공격,양강,후보,박용진,후보,정책,검증,집중,관측,김재득기자","이재명,이낙연,대변인,지역주의,선거인단,언론사,원팀,본경선,정세균,전남,프레,tv,시민단체,마타도어,더불어민주당,이행률","더불어민주당 대권주자인 이재명 경기지사와 이낙연 전 대표가 주말에도 거친 설전을 벌였다... .. .. ..지난달 28일 대권주자 6명이 ..정정당당! 우리는 원팀이다면서 상호 비방이 아닌 정책과 비전으로 겨루겠다는 ..‘원팀 협약식’이 지켜지지 않는 .. 코로나19 확산으로 대면 접촉이 제한된 현실에서 전화와 문자, SNS를 최대한 활용하고 있다...",www.joongboo.com/news/articleView.html?idxno=363496813
62,2021-08-01,경향신문,유신모 기자 simon@kyunghyang.com,"ARF 6일 개최, 북한의 대외전략 메시지에 주목",정치>북한,정치>청와대,정치>외교,,,,"리선권, 정의용","북, 미국, 하노이, 일본, 중국, 아세안, 인도네시아, 남북한, 남북, 한반도, 중, 미, 일, 한, 러시아","동아시아정상회의, 유일, 외무상, 브루나이, 대표, 북한, 아세안 외교장관 연쇄회의, 외교장관회, 북·미 정상회담, 행정부, 장관회, 동남아시아국가연합, 정부, ARF, 연합군, 외교부, 아세안 연쇄장관회의, 유럽연합, ASEAN, 한·미","개최,ARF,북한,대외,전략,메시지,주목,다음달,아세안,ASEAN·동남아시아국가연합,의장국,브루나이,화상,주최,연쇄회의,아세안,외교,장관,연쇄,회의,북한,대외,전략,방향,가늠,계기,회의,일정,3일,아세안,아세안,장관회의,동아시아,정상,회의,EAS,외교장관회의,아세안,지역,안보,포럼,ARF,북한,ARF,참석,예상,ARF,아세안,개국,남북한,미국,중국,일본,러시아,유럽연합,27개국,회원국,북한,유일,참여,다자안보포럼,북한,ARF,대미,한반도,자신들,입장,공개적,코로나19,회의,화상,각국,장관,대면,기회,변화,주변,정세,북한,공개적,입장,확인,기회,ARF,코로나19,장기화,미국,행정부,대북,정책,검토,친서교환,남북,정상,친서,교환,통신선,복원,조치,북한,대외,전략,일단,확인,북한,하노이,정상,회담,결렬,대화,중단,남북,단절,대결,자세,행정부,대북,정책,검토,대결,대화,준비,강대강,선대선,원칙,상황,주시,남북,친서교환,남북,친서,교환,13개월,단절,개월,통신선,복원,합의,의사,남북,개선,표명,북한,ARF,참석,공식적,준비회의,지난달,ARF,준비,회의,대사,대사,안광일,아세안,주재,대표부,대사,인도네시아,주재,참석,대사,리선권,외무상,회의,참석,가능성,정부,당국자,북한,각종,계기,대외,메시지,미국,비난,자제,남북관계,변화,조짐,북한,ARF,대화,재개,남북,진전,북한,생각,가늠,예상,시작,중순쯤,군사,훈련,취소,요구,대화,재개,연계,관측,외교부,정의,장관,아세안,연쇄,장관,회의,참석,지난달,외교부,외교장관회의,아세안,협력,추진력,코로나19,극복,경제,회복,기여,방안,협력,강화,설명,평화,한편,역내,안정,강조,계획","아세안,남북관계,코로나19,arf,미국,하노이,친서교환,통신선,각국,행정부,외교부,다음달,공개적,안광일","..코로나19 때문에 올해 회의도 지난해와 마찬가지로 화상으로 열리기 때문에 각국 장관들이 직접 대면할 기회는 없지만, 최근 변화한 주변 정세에 대한 북한의..“이번 외교장관회의를 통해 한-아세안 협력 추진력을 이어나가고 코로나19의 조속한 극복과 경제 회복을 위한 기여와 협력 강화 방안을 설명하는 한편 역내 평화와 안정을 강조할 계획”이라고 말했다. ..",https://www.khan.co.kr/politics/defense-diplomacy/article/202108011640001
63,2021-08-01,머니투데이,박다영|기자|,정부 비수도권 확진자 생활치료센터 아닌 감염병전담병원 배정,지역>전북,지역>경남,지역>경기,,,,,,"정부, 감염병전담병원, 중앙사고수습본부, 중수본","정부,비수도,확진자,생활,치료,센터,감염병,전담,병원,배정,비수도권,코로나19,COVID-,신규,확진자,다수,생활치료센터,감염병,전담,병원,병상,배정,확인,중앙사고수습본부,중수본,회의,현장점검,결과,현장,점검,논의,정부,중증도,병상,운영,차질,결과,중수본,점검,자체,생활,치료,센터,확충,인식,부족,비수도권,기준,비수도,비율,생활,치료,센터,입소자,49%,,배정,확진자,비율,51%,점검,결과,생활,치료,센터,분류,확진자,82명,중수본,점검,재분류,결과,대상자,생활,치료,센터,입소,감염병전담병원,158명,병상,배정자,점검,55명,확인,중수본,환자,분류,제한,자료,활용,선별조사표,미사용,기준,절차,환자,분류,배정,정기적,교육,확인,코로나19,장기,지자체,업무,방역,대응,과중,부족,인력지원,행정인력,지원,제기,중수본,관계자,점검,결과,바탕,지자체,중증도,환자,배정,신속,생활치료센터,개소,협조,요청,한편,효율화,병상,운영,효율,검토,계획","생활치료센터,중수본,확진자,비수도권,비수도,코로나19,감염병전담병원,지자체,중증도,감염병,입소자,현장점검,대상자,선별조사표,조사표,행정인력,인력지원",[머니투데이 박다영 기자] 비수도권의 코로나19(COVID-19) 신규 확진자 중 다수가 생활치료센터가 아닌 감염병전담병원 병상에 배정된 것으로 확인됐다... .. .. ..중앙사고수습본부(이하 중수본)는 1일 회의를 열고 이 .. 코로나19 장기화로 지자체의 방역 대응 업무가 과중됨에 따라 부족한 인력지원 등 행정인력에 대한 지원 필요성이 제기됐다. ..,http://news.moneytoday.co.kr/view/mtview.php?no=2021080116333495909&type=2
64,2021-08-01,경향신문,강연주 기자 play@kyunghyang.com,7월 수출 ‘554억달러’···65년 무역 역사상 최고치,경제>무역,경제>유통,경제>반도체,,,,문승욱,"미국, 중국, 경기, 농수산, 아세안, 신성","정부, WTO, 유럽연합(EU), 석유화학, 산업부, 세계무역기구, 산업통상자원부","554억,수출,달러,65년,최고치,무역,역사,지난달,수출,554억,달러,기준,최고치,무역,역사,최고,달성,회복세,세계,경기,품목,수출,효자,반도체,석유화학,일반기계,주력,품목,실적,산업통상자원부,수출액,동기,대비,29.6%,증가,554억,달러,기록,1일,무역통계,집계,시작,65년,이래,수출액,수출,11월,증가,연속,품목별,품목,주력,증가,품목,자릿수,증가,수출,반도체,39.6%,증가,110억,달러,수출,역대,최고치,기록,수출,수출,2,,품목,석유화학,일반기계,59.5%,18.4%,증가,품목,전통,주력,자동차,12.3%,컴퓨터,26.4%,호조,바이오헬스,27.2%,이차전지,31.3%,농수산,3.7%,화장품,11.7%,품목,역대,수출,지역별,9대,지역,수출,증가,중국,미국,유럽연합,EU,아세안,수출,지역,역대,1~2위,기록,수입,38.2%,증가,536억,달러,기록,무역수지,17억,달러,개월,연속,흑자,행진,정부,세계,교역,회복세,수출단가,지속적,수출,상승세,전망,세계무역기구,WTO,5월,교역액,세계,누적,기간,27.4%,증가,사상,최대,기록,수출,최고,행진,국제유가,원자재,급등,원자재,수입액,부담,요인,장관,문승욱,산업부,코로나19,바이러스,확산,수출입,물류,차질,부품,공급,상승,원자재,가격,위협,요인,진단,장관,역대,연간,최대,수출액,무역,달러,회복,달성,수출,기업,지원,대책","원자재,수출액,최고치,회복세,반도체,554억,산업부,문승욱","지난달 수출이 554억달러를 넘어서면서 월 기준으로 우리 무역 역사상 최고치를 달성했다... 세계 경기 회복세와 맞물려 수출 효자 품목인 반도체와 석유화학, 일반기계 등 주력 품목이 실적을 끌어올렸다... .. ..“(코로나19) 변이 바이러스 확산, 수출입 물류 애로, 부품 공급 차질, 원자재 가격 상승 등의 위협 요인은 계속되고 있다”고 진단했다...",http://biz.khan.co.kr/khan_art_view.html?artid=202108011104001&code=920501
65,2021-08-01,머니투데이,박다영|기자|,"정부, 임시선별검사소 인력 위해 회복지원차량 지원",지역>대전,지역>강원,지역>경기,,,,,"충청권, 호남권, 트라, 강원권","행정안전부, 정부, 중앙재난안전대책본부, 임시선별검사소, 경찰청, 소방청","정부,임시,선별,검사소,인력,회복,지원,차량,지원,코로나19,COVID-,확산,유행,검사,수요,폭염,지속,정부,임시선별검사소,근무,의료진,대응인력,회복지원차량,지원,중앙재난안전대책본부,중대본,회의,개최,결과,회복지원차량,별도,휴식공간,제공,피로회복,지원,이동식,차량,행정안전부,경찰청,소방청,지원,전국,기준,22대,배치,추후,지자체,요청,방역,활용,가용,가능,회복지원차량,지원,휴식,냉방,공간,추가,확대,계획,2일,코로나19,장기화,의사,간호사,공무원,대응인력,소진,심화,국가,권역,트라우마센터,마음,안심,버스,선별진료소,파견,운영,대응인력,심리지원,추진,마음,안심,버스,내부,공간,장비,활용,스트레스,측정,전문,심리,상담,마음,안내서,제공,심리,안정,용품,심리지원,가능,권역별,1대,5대,수도권,충청권,강원권,호남권,영남권,지원,신청,절차,권역,트라우마,센터,운영,마음,안심버스,신청,운행,계획","회복지원차량,코로나19,대응인력,임시선별검사소,검사소,심리지원,안심버스,충청권,강원권,지자체,호남권,수도권,중대본,호남,간호사,5대,영남권,22대,경찰청,장기화,공무원,휴식공간,1대,의료진,행정안전부,진료소,선별진료소,피로회복,트라우마센터,영남,중앙재난안전대책본부,소방청,권역별","[머니투데이 박다영 기자] 코로나19(COVID-19) 4차 유행 확산으로 검사 수요가 늘어나고 폭염이 지속되자 정부가 임시선별검사소에 근무하는 의료진 등 대응인력에 회복지원차량을 지원하기로 했다. ....코로나19의 장기화로 의사, 간호사, 공무원 등 대응인력의 소진이 심화됨에 따라, 국가·권역 트라우마센터의 마음 안심버스를 선별진료소에 파견·운영하여..",http://news.moneytoday.co.kr/view/mtview.php?no=2021080116325045232&type=2
